model,seed,test_size,test_count,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic C=0.25,83,0.1,31,0.4,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9621848739495797,0.9440210583067725
Logistic C=0.25,83,0.1,31,0.45,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9621848739495797,0.9440210583067725
Logistic C=0.25,83,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9621848739495797,0.9440210583067725
Logistic C=0.25,83,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9621848739495797,0.9440210583067725
Logistic C=0.25,20,0.1,31,0.4,0.9354838709677419,0.875,1.0,0.9333333333333333,0.957983193277311,0.9260788814360241
Logistic C=0.05,54,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9596415489272632
Logistic C=0.1,20,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9260788814360241
Logistic C=0.1,20,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9260788814360241
Logistic C=0.1,20,0.1,31,0.6,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9260788814360241
Logistic C=0.1,31,0.1,31,0.4,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9596415489272632
Logistic C=0.25,15,0.1,31,0.45,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9702380952380951
Logistic C=0.25,20,0.1,31,0.5,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9260788814360241
Logistic C=0.25,20,0.1,31,0.55,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9260788814360241
Logistic C=0.25,20,0.1,31,0.6,0.9354838709677419,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.957983193277311,0.9260788814360241
Logistic C=0.05,80,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.957983193277311,0.9702380952380951
Logistic C=0.05,80,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.957983193277311,0.9702380952380951
Logistic C=0.25,15,0.1,31,0.6,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,0.957983193277311,0.9702380952380951
Logistic C=0.1,45,0.1,31,0.4,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9579831932773109,0.9484497645211929
Logistic C=0.1,45,0.1,31,0.45,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9579831932773109,0.9484497645211929
