feature,importance
feature_253_0.0,0.0
feature_253_0.5,0.0
feature_025_1.0,0.0
feature_026_0.0,0.0
feature_030_0.0,0.0
feature_026_1.0,0.0
feature_023_0.0,0.0
feature_244_0.0,0.0
feature_244_-0.5,0.0
feature_021_1.0,0.0
feature_018_24.0,0.0
feature_018_12.0,0.0
feature_038_1.0,0.0
feature_038_0.0,0.0
feature_037_0.0,0.0
feature_037_1.0,0.0
feature_036_1.0,0.0
feature_036_0.0,0.0
feature_031_12.0,0.0
feature_035_0.0,0.0
feature_033_1.0,0.0
feature_048_0.0,0.0
feature_047_0.0,0.0
feature_047_1.0,0.0
feature_043_24.0,0.0
feature_019_0.0,0.0
feature_050_1.0,0.0
feature_050_0.0,0.0
feature_049_1.0,0.0
feature_049_0.0,0.0
feature_048_1.0,0.0
feature_057_1.0,0.0
feature_055_32.0,0.0
feature_055_0.0,0.0
feature_059_1.0,0.0
feature_059_0.0,0.0
feature_058_0.0,0.0
feature_021_0.0,0.0
feature_043_28.0,0.0
feature_045_0.0,0.0
feature_045_1.0,0.0
feature_046_0.0,0.0
feature_066_24.0,0.0
feature_066_0.0,0.0
feature_062_0.0,0.0
feature_061_0.0,0.0
feature_060_1.0,0.0
feature_066_40.0,0.0
feature_066_36.0,0.0
feature_066_28.0,0.0
feature_070_0.0,0.0
feature_070_1.0,0.0
feature_071_0.0,0.0
feature_071_1.0,0.0
feature_030_8.0,0.0
feature_030_12.0,0.0
feature_025_0.0,0.0
feature_022_1.0,0.0
feature_030_28.0,0.0
feature_030_20.0,0.0
feature_031_56.0,0.0
feature_031_0.0,0.0
feature_033_0.0,0.0
feature_023_1.0,0.0
feature_022_0.0,0.0
feature_234_-4.0,0.0
feature_243_1.1,0.0
feature_243_1.4,0.0
feature_243_7.0,0.0
feature_243_4.0,0.0
feature_244_-5.6,0.0
feature_234_0.0,0.0
feature_243_0.0,0.0
feature_224_-0.4,0.0
feature_091_12.0,0.0
feature_086_1.0,0.0
feature_086_0.0,0.0
feature_085_0.0,0.0
feature_084_0.0,0.0
feature_084_1.0,0.0
feature_083_0.0,0.0
feature_082_1.0,0.0
feature_079_0.0,0.0
feature_082_0.0,0.0
feature_079_24.0,0.0
feature_079_32.0,0.0
feature_074_1.0,0.0
feature_073_0.0,0.0
feature_073_1.0,0.0
feature_074_0.0,0.0
feature_066_32.0,0.0
feature_069_0.0,0.0
feature_067_0.0,0.0
feature_072_1.0,0.0
feature_105_1.0,0.0
feature_105_0.0,0.0
feature_103_32.0,0.0
feature_103_0.0,0.0
feature_096_1.0,0.0
feature_097_0.0,0.0
feature_098_0.0,0.0
feature_093_0.0,0.0
feature_098_1.0,0.0
feature_106_0.0,0.0
feature_106_1.0,0.0
feature_094_0.0,0.0
feature_114_56.0,0.0
feature_114_48.0,0.0
feature_110_1.0,0.0
feature_114_0.0,0.0
feature_110_0.0,0.0
feature_109_1.0,0.0
feature_107_0.0,0.0
feature_108_1.0,0.0
feature_220,0.0
feature_118_1.0,0.0
feature_117_1.0,0.0
feature_117_0.0,0.0
feature_119_1.0,0.0
feature_118_0.0,0.0
feature_115_0.0,0.0
feature_115_24.0,0.0
feature_122_0.0,0.0
feature_121_1.0,0.0
feature_121_0.0,0.0
feature_126_0.0,0.0
feature_126_24.0,0.0
feature_126_12.0,0.0
feature_126_16.0,0.0
feature_126_20.0,0.0
feature_127_40.0,0.0
feature_127_16.0,0.0
feature_127_0.0,0.0
feature_129_0.0,0.0
feature_094_1.0,0.0
feature_095_0.0,0.0
feature_095_1.0,0.0
feature_093_1.0,0.0
feature_133_1.0,0.0
feature_133_0.0,0.0
feature_132_0.0,0.0
feature_131_0.0,0.0
feature_139_0.0,0.0
feature_141_0.0,0.0
feature_138_0.0,0.0
feature_134_0.0,0.0
feature_142_1.0,0.0
feature_143_0.0,0.0
feature_145_0.0,0.0
feature_144_0.0,0.0
feature_146_0.0,0.0
feature_150_0.0,0.0
feature_142_0.0,0.0
feature_078,0.0
feature_150_28.0,0.0
feature_151_0.0,0.0
feature_153_0.0,0.0
feature_154_0.0,0.0
feature_154_1.0,0.0
feature_155_0.0,0.0
feature_155_1.0,0.0
feature_156_0.0,0.0
feature_157_0.0,0.0
feature_158_0.0,0.0
feature_158_1.0,0.0
feature_163_0.4,0.0
feature_163_1.9,0.0
feature_164_0.0,0.0
feature_150_20.0,0.0
feature_138_60.0,0.0
feature_173_0.4,0.0
feature_173_0.0,0.0
feature_173_0.7,0.0
feature_173_0.6,0.0
feature_174_-1.2,0.0
feature_174_0.0,0.0
feature_184_-1.7,0.0
feature_173_3.2,0.0
feature_184_-1.1,0.0
feature_184_-0.7,0.0
feature_184_0.0,0.0
feature_194_-0.4,0.0
feature_194_0.0,0.0
feature_204_0.0,0.0
feature_214_-3.3,0.0
feature_184_-1.3,0.0
feature_214_-0.9,0.0
feature_214_0.0,0.0
feature_253_0.7,0.0
feature_253_0.6,0.0
feature_253_1.0,0.0
feature_253_2.4,0.0
feature_254_-0.9,0.0
feature_253_0.9,0.0
feature_254_-0.4,0.0
feature_254_0.0,0.0
feature_263_5.8,0.0
feature_263_0.0,0.0
feature_264_0.0,0.0
feature_273_0.0,0.0
feature_273_0.8,0.0
feature_274_0.0,0.0
